store_id,n_visits,daily_txn_est,avg_basket_est,revenue_flow_low,revenue_flow_base,revenue_flow_high,revenue_inventory_est,triangulation_ratio,owner_band_low,owner_band_high,two_window_gap_pct,flags,owner_band_contains_base
KIR01,1,314.2857142857143,392.4,11785.714285714286,123325.71428571428,392857.14285714284,119333.33333333334,0.967627343774133,80000.0,100000.0,,,False
KIR02,1,411.42857142857144,392.79999999999995,30857.142857142855,161609.14285714284,514285.7142857143,220000.0,1.3613091197103417,160000.0,180000.0,,,True
KIR03,1,548.5714285714286,390.0,20571.428571428572,213942.85714285713,685714.2857142857,206666.6666666667,0.9659900284900287,200000.0,220000.0,,,True
MART01,2,375.23809523809524,605.2,14071.428571428572,227116.9523809524,703571.4285714286,101666.66666666667,0.4479179037033959,,,4.980358346947749,triangulation_disagree_ratio=0.44;triangulation_disagree_ratio=0.46,
MART02,1,480.0,209.6,18000.0,100608.0,300000.0,92500.0,0.9194099872773537,,,,,
MART03,1,440.0,602.0,33000.0,264880.0,825000.0,147833.33333333334,0.5581143662539012,260000.0,280000.0,,triangulation_disagree_ratio=0.56,True
MART04,1,306.66666666666663,283.2,22999.999999999996,86847.99999999999,191666.66666666663,82833.33333333334,0.9537736428395974,80000.0,100000.0,,,True
PAN01,1,334.28571428571433,192.8,5014.285714285715,64450.285714285725,208928.57142857145,76666.66666666667,1.1895473513730774,60000.0,80000.0,,,True
PAN02,1,240.0,136.8,3600.0,32832.0,75000.0,40000.0,1.2183235867446394,20000.0,40000.0,,,True
PAN03,1,262.8571428571429,163.6,9857.142857142859,43003.42857142857,98571.42857142858,55833.333333333336,1.2983460897912902,40000.0,60000.0,,,True
